Date,Product Category,Region,Product,Sales,Profit,Quantity Sold
2022-07-03,Clothing,North,Less,877.73,149.08,29
2022-07-04,Accessories,Central,When,1103.83,236.2,43
2022-07-05,Accessories,West,Next,842.57,231.13,43
2022-07-06,Accessories,Central,Page,847.61,181.35,35
2022-07-07,Electronics,South,Behind,884.81,214.61,48
2022-07-08,Clothing,East,Direction,949.8,232.47,28
2022-07-09,Electronics,West,Worker,1413.47,355.85,4
2022-07-10,Furniture,North,Front,1276.98,178.01,27
2022-07-11,Office Supplies,West,Account,1384.3,157.79,27
2022-07-12,Electronics,West,Explain,864.34,104.38,12
2022-07-13,Clothing,North,Sister,638.36,177.84,8
2022-07-14,Electronics,North,Daughter,650.41,98.59,43
2022-07-15,Clothing,East,Significant,1525.12,208.39,26
2022-07-16,Clothing,Central,I,1061.33,119.78,42
2022-07-17,Office Supplies,East,Available,799.27,199.93,48
2022-07-18,Furniture,South,Authority,641.3,178.72,36
2022-07-19,Clothing,South,Body,520.2,146.65,43
2022-07-20,Clothing,Central,Seat,1503.93,200.46,37
2022-07-21,Office Supplies,South,Size,1498.91,150.76,38
2022-07-22,Clothing,East,Another,1163.68,219.02,26
2022-07-23,Accessories,Central,Visit,1201.34,303.87,31
2022-07-24,Clothing,Central,Painting,843.63,135.65,11
2022-07-25,Electronics,West,Wish,1440.57,385.02,13
2022-07-26,Furniture,West,Station,1101.41,299.78,6
2022-07-27,Furniture,South,Old,941.42,201.36,34
2022-07-28,Furniture,South,Space,904.24,93.53,44
2022-07-29,Clothing,West,Catch,1365.53,382.74,27
2022-07-30,Electronics,South,The,1110.02,254.09,42
2022-07-31,Electronics,North,Church,1005.42,253.25,48
2022-08-01,Office Supplies,South,Court,1249.76,162.3,47
2022-08-02,Office Supplies,East,Young,1163.69,307.24,13
2022-08-03,Electronics,West,Tax,752.34,95.77,3
2022-08-04,Furniture,West,Whole,747.26,156.12,46
2022-08-05,Accessories,South,Most,1241.82,219.79,24
2022-08-06,Accessories,East,Whose,1034.52,109.98,22
2022-08-07,Accessories,East,Loss,1100.07,170.61,39
2022-08-08,Electronics,North,Reduce,553.61,125.28,26
2022-08-09,Furniture,Central,Church,1060.21,232.82,36
2022-08-10,Electronics,North,Professional,663.48,149.9,9
2022-08-11,Accessories,East,Oil,1042.39,147.16,26
2022-08-12,Furniture,Central,On,1389.71,373.98,22
2022-08-13,Furniture,East,Weight,992.13,175.04,21
2022-08-14,Clothing,East,Along,1022.64,141.96,1
2022-08-15,Office Supplies,North,Loss,1246.36,257.42,5
2022-08-16,Accessories,East,Rate,1024.98,260.47,6
2022-08-17,Clothing,South,Senior,566.8,109.94,17
2022-08-18,Clothing,Central,White,865.91,214.84,13
2022-08-19,Clothing,South,Participant,389.46,97.56,20
2022-08-20,Office Supplies,Central,Once,1224.05,286.42,13
2022-08-21,Clothing,East,Enjoy,1022.25,304.05,8
2022-08-22,Electronics,East,Return,955.61,188.67,40
2022-08-23,Furniture,East,Field,1275.16,205.75,33
2022-08-24,Clothing,South,Away,1356.04,277.99,44
2022-08-25,Clothing,South,Debate,957.37,138.97,36
2022-08-26,Electronics,South,Either,1183.97,297.79,48
2022-08-27,Furniture,East,Even,908.23,255.38,9
2022-08-28,Accessories,West,Identify,795.2,202.36,8
2022-08-29,Accessories,South,Trouble,892.86,259.11,44
2022-08-30,Office Supplies,West,Hear,992.55,194.66,39
2022-08-31,Clothing,South,Group,1278.96,358.94,29
2022-09-01,Furniture,East,Value,1354.99,167.95,10
2022-09-02,Accessories,East,See,652.48,67.31,23
2022-09-03,Electronics,North,Southern,885.55,95.33,23
2022-09-04,Clothing,West,Painting,1273.4,250.49,40
2022-09-05,Accessories,South,Lose,794.39,206.95,43
2022-09-06,Furniture,North,Upon,1038.08,282.72,44
2022-09-07,Furniture,North,Republican,1477.55,412.37,23
2022-09-08,Clothing,East,Business,954.31,236.58,9
2022-09-09,Accessories,West,Manage,1094.24,162.2,34
2022-09-10,Clothing,South,High,1084.77,161.28,49
2022-09-11,Clothing,South,Accept,598.28,118.97,3
2022-09-12,Office Supplies,East,Chair,1088.69,196.95,32
2022-09-13,Office Supplies,West,Evening,1052.96,222.13,21
2022-09-14,Furniture,Central,Several,1198.96,255.94,38
2022-09-15,Furniture,South,Form,1389.18,355.56,35
2022-09-16,Electronics,North,Race,973.7,258.14,32
2022-09-17,Accessories,East,Soldier,483.33,107.18,22
2022-09-18,Office Supplies,North,Inside,795.92,188.31,34
2022-09-19,Accessories,Central,Management,1530.72,370.19,2
2022-09-20,Clothing,Central,Affect,1361.06,387.0,3
2022-09-21,Office Supplies,South,Huge,1211.62,290.42,36
2022-09-22,Office Supplies,East,Oil,920.82,197.35,41
2022-09-23,Electronics,North,Catch,1013.45,119.48,42
2022-09-24,Office Supplies,Central,Home,769.11,206.8,13
2022-09-25,Furniture,East,Customer,524.91,142.13,43
2022-09-26,Accessories,Central,Now,774.38,111.31,4
2022-09-27,Office Supplies,South,Today,543.47,76.67,49
2022-09-28,Accessories,Central,Skin,907.07,152.69,36
2022-09-29,Accessories,North,Standard,1205.69,279.94,14
2022-09-30,Office Supplies,West,Machine,1263.83,320.47,45
2022-10-01,Office Supplies,West,Check,1086.78,280.8,1
2022-10-02,Electronics,East,Present,881.44,196.43,32
2022-10-03,Furniture,West,Trip,1790.31,446.24,28
2022-10-04,Office Supplies,North,Series,1709.89,372.31,1
2022-10-05,Office Supplies,South,Guy,1155.55,287.21,17
2022-10-06,Furniture,Central,Economy,994.31,100.86,23
2022-10-07,Office Supplies,Central,Quality,1060.79,197.7,5
2022-10-08,Furniture,East,Detail,1517.62,444.97,11
2022-10-09,Clothing,South,When,664.82,196.78,45
2022-10-10,Office Supplies,West,Guess,989.58,169.87,1
2022-10-11,Electronics,North,Rule,964.92,236.63,20
2022-10-12,Furniture,East,Technology,1036.59,252.52,39
2022-10-13,Furniture,East,Congress,998.4,181.62,30
2022-10-14,Clothing,East,Garden,918.74,240.89,26
2022-10-15,Electronics,North,Another,1026.54,111.14,18
2022-10-16,Furniture,East,Another,1302.03,346.11,26
2022-10-17,Clothing,South,One,1144.51,192.69,25
2022-10-18,Clothing,East,Sit,555.32,80.16,5
2022-10-19,Clothing,Central,Them,1531.76,404.95,30
2022-10-20,Electronics,West,Movie,1396.18,153.12,36
2022-10-21,Furniture,South,Second,1035.09,215.08,37
2022-10-22,Clothing,East,Throw,801.15,162.98,36
2022-10-23,Accessories,West,Later,824.33,239.21,41
2022-10-24,Accessories,East,Black,737.46,138.67,37
2022-10-25,Furniture,West,Add,1100.67,161.8,22
2022-10-26,Accessories,West,Language,796.83,195.05,47
2022-10-27,Electronics,Central,Lead,960.2,129.02,16
2022-10-28,Accessories,West,Pm,838.36,167.26,31
2022-10-29,Electronics,South,Box,1124.73,250.39,17
2022-10-30,Electronics,East,Its,1096.43,219.45,1
2022-10-31,Office Supplies,Central,Day,970.29,137.97,22
2022-11-01,Clothing,South,Either,446.6,118.76,42
2022-11-02,Clothing,East,Tonight,1496.86,182.46,13
2022-11-03,Office Supplies,Central,Or,612.08,62.46,31
2022-11-04,Furniture,West,Specific,849.02,136.01,39
2022-11-05,Accessories,South,Today,1110.83,310.67,1
2022-11-06,Furniture,West,Approach,508.76,85.9,36
2022-11-07,Office Supplies,West,Indeed,989.33,213.66,26
2022-11-08,Furniture,East,Either,1109.77,152.98,29
2022-11-09,Office Supplies,West,Leader,897.39,141.85,9
2022-11-10,Electronics,East,Risk,1082.31,267.99,26
2022-11-11,Office Supplies,East,Draw,850.65,209.26,31
2022-11-12,Electronics,South,Movie,922.29,135.98,10
2022-11-13,Clothing,South,Happen,895.01,211.38,32
2022-11-14,Electronics,South,Marriage,436.22,120.81,27
2022-11-15,Electronics,East,Indeed,1441.13,282.11,48
2022-11-16,Accessories,North,One,1565.97,448.5,38
2022-11-17,Furniture,South,Likely,1218.84,330.11,1
2022-11-18,Furniture,Central,Safe,486.07,62.17,38
2022-11-19,Accessories,North,Pass,513.41,90.85,26
2022-11-20,Electronics,East,Rock,1215.44,258.65,45
2022-11-21,Furniture,West,Set,670.42,181.84,33
2022-11-22,Accessories,West,Even,979.43,204.3,3
2022-11-23,Clothing,South,I,1742.84,213.91,22
2022-11-24,Furniture,Central,Do,1020.97,174.08,49
2022-11-25,Office Supplies,Central,Happy,1182.2,203.14,6
2022-11-26,Electronics,South,Clear,1497.5,217.81,19
2022-11-27,Accessories,West,Last,951.83,126.8,47
2022-11-28,Office Supplies,South,Loss,1027.69,257.66,13
2022-11-29,Clothing,East,Deep,793.7,184.06,37
2022-11-30,Clothing,South,Hard,837.49,171.77,24
2022-12-01,Office Supplies,South,Full,625.12,187.43,32
2022-12-02,Accessories,North,Specific,591.11,84.92,4
2022-12-03,Furniture,Central,Various,978.33,269.48,43
2022-12-04,Furniture,Central,Image,799.44,150.3,46
2022-12-05,Electronics,North,Of,696.11,125.27,9
2022-12-06,Electronics,Central,Remain,748.51,154.42,23
2022-12-07,Clothing,South,Great,901.8,169.68,24
2022-12-08,Accessories,Central,Performance,903.35,266.07,13
2022-12-09,Accessories,East,Your,837.95,124.8,5
2022-12-10,Electronics,West,None,1240.53,246.81,46
2022-12-11,Clothing,North,Within,749.26,90.03,26
2022-12-12,Clothing,West,Claim,1081.25,226.01,49
2022-12-13,Accessories,South,Much,1554.61,243.72,15
2022-12-14,Furniture,North,Reality,704.85,196.47,26
2022-12-15,Office Supplies,South,Whether,876.76,166.32,33
2022-12-16,Electronics,Central,Nothing,1261.35,144.36,33
2022-12-17,Furniture,Central,Drive,1069.88,188.98,22
2022-12-18,Furniture,Central,Meeting,484.43,83.26,30
2022-12-19,Electronics,East,Thousand,1151.05,238.03,40
2022-12-20,Furniture,Central,Drug,1409.9,353.27,7
2022-12-21,Accessories,Central,Country,555.9,123.85,29
2022-12-22,Accessories,South,At,1207.64,182.09,23
2022-12-23,Office Supplies,Central,Necessary,842.48,99.81,1
2022-12-24,Clothing,South,Tough,1224.03,193.39,2
2022-12-25,Accessories,West,Anything,1200.72,357.79,9
2022-12-26,Office Supplies,North,Study,910.05,123.63,39
2022-12-27,Accessories,South,Age,962.99,132.3,15
2022-12-28,Office Supplies,West,Study,992.11,241.68,33
2022-12-29,Furniture,East,Four,454.23,120.93,45
2022-12-30,Accessories,East,College,1196.96,205.45,11
2022-12-31,Clothing,North,Poor,1332.69,207.2,36
2023-01-01,Clothing,North,Black,899.63,122.44,20
2023-01-02,Electronics,South,World,588.11,80.02,35
2023-01-03,Furniture,Central,Continue,1891.36,272.72,4
2023-01-04,Furniture,East,Hair,1129.2,305.12,6
2023-01-05,Furniture,North,Build,758.31,205.95,3
2023-01-06,Office Supplies,Central,Standard,1285.33,369.48,27
2023-01-07,Office Supplies,North,Consumer,1124.49,207.62,2
2023-01-08,Clothing,South,Hard,902.78,125.83,41
2023-01-09,Office Supplies,South,Laugh,832.81,178.83,12
2023-01-10,Accessories,North,Pull,693.69,78.23,26
2023-01-11,Electronics,East,Notice,515.04,81.6,20
2023-01-12,Electronics,West,Head,962.7,167.68,1
2023-01-13,Office Supplies,Central,Other,932.41,234.5,46
2023-01-14,Furniture,Central,Mouth,763.16,173.92,5
2023-01-15,Furniture,South,Probably,512.01,53.83,37
2023-01-16,Clothing,North,Right,1506.26,403.16,15
2023-01-17,Furniture,East,Until,649.42,154.97,13
2023-01-18,Furniture,North,Shake,1275.95,234.47,27
2023-01-19,Office Supplies,West,Argue,1226.53,313.46,16
2023-01-20,Clothing,West,Market,893.04,206.99,45
2023-01-21,Furniture,North,Boy,886.3,122.21,38
2023-01-22,Accessories,South,Letter,964.25,174.73,16
2023-01-23,Accessories,East,Collection,426.91,84.22,44
2023-01-24,Office Supplies,North,He,957.17,126.18,9
2023-01-25,Electronics,Central,Today,1046.07,138.46,29
2023-01-26,Office Supplies,West,Wind,894.67,183.21,2
2023-01-27,Accessories,West,Listen,950.71,200.19,49
2023-01-28,Office Supplies,South,Still,1041.58,146.8,39
2023-01-29,Accessories,South,Mother,1068.89,223.93,6
2023-01-30,Office Supplies,Central,Also,1223.75,331.53,2
2023-01-31,Office Supplies,North,Various,720.26,201.54,41
2023-02-01,Accessories,North,Ever,615.89,145.52,25
2023-02-02,Electronics,North,Edge,756.65,207.24,26
2023-02-03,Accessories,North,Thus,1104.88,264.69,26
2023-02-04,Accessories,South,White,941.78,114.55,42
2023-02-05,Accessories,East,Radio,1001.79,276.04,11
2023-02-06,Furniture,Central,Born,367.41,63.76,4
2023-02-07,Furniture,East,Traditional,1308.54,202.87,42
2023-02-08,Accessories,East,Big,982.31,285.28,45
2023-02-09,Accessories,North,Whether,761.53,214.22,46
2023-02-10,Office Supplies,North,Sound,551.35,158.69,29
2023-02-11,Accessories,North,Husband,1002.05,290.08,6
2023-02-12,Electronics,South,Establish,1128.92,208.59,34
2023-02-13,Clothing,North,Fish,713.7,130.64,37
2023-02-14,Clothing,Central,Season,872.83,205.0,42
2023-02-15,Furniture,South,Include,1173.08,218.31,48
2023-02-16,Office Supplies,East,Create,236.24,59.19,37
2023-02-17,Furniture,North,Our,678.82,196.09,4
2023-02-18,Accessories,North,Green,903.8,181.58,29
2023-02-19,Accessories,East,Spend,756.62,146.33,40
2023-02-20,Office Supplies,West,Already,1078.9,181.41,49
2023-02-21,Accessories,East,Very,924.7,231.04,37
2023-02-22,Office Supplies,North,Cost,861.42,163.3,39
2023-02-23,Furniture,Central,Name,1059.83,304.92,44
2023-02-24,Clothing,South,Suggest,670.66,196.44,40
2023-02-25,Clothing,Central,Focus,850.29,126.81,4
2023-02-26,Clothing,Central,Organization,995.62,199.16,42
2023-02-27,Electronics,West,Quality,1114.7,231.27,10
2023-02-28,Electronics,South,Including,729.16,112.71,37
2023-03-01,Accessories,East,Its,882.12,176.79,3
2023-03-02,Electronics,North,Really,1418.96,171.21,48
2023-03-03,Clothing,South,Worry,1533.24,337.34,15
2023-03-04,Electronics,North,Break,1445.35,224.74,48
2023-03-05,Electronics,South,Station,941.99,194.76,29
2023-03-06,Electronics,West,Artist,1014.2,160.48,29
2023-03-07,Accessories,North,Whole,931.87,100.49,42
2023-03-08,Office Supplies,East,Identify,783.64,190.27,31
2023-03-09,Furniture,South,Education,1176.77,198.24,33
2023-03-10,Furniture,Central,Church,761.56,157.4,29
2023-03-11,Electronics,South,Former,1447.73,289.84,11
2023-03-12,Clothing,South,Value,693.68,92.43,1
2023-03-13,Clothing,North,Officer,874.13,114.86,46
2023-03-14,Office Supplies,North,Glass,784.78,161.44,47
2023-03-15,Electronics,Central,Set,600.02,163.56,18
2023-03-16,Furniture,West,Gas,1018.19,205.84,29
2023-03-17,Clothing,West,Local,1183.63,119.52,40
2023-03-18,Furniture,South,Name,998.31,243.26,15
2023-03-19,Furniture,Central,Rest,838.37,87.42,27
2023-03-20,Office Supplies,Central,Him,1221.07,314.45,44
2023-03-21,Furniture,North,Sense,1098.03,184.78,47
2023-03-22,Electronics,South,Next,1011.68,302.1,37
2023-03-23,Clothing,North,Do,989.52,179.45,2
2023-03-24,Clothing,West,Central,754.79,106.62,31
2023-03-25,Furniture,North,Run,1225.43,197.12,6
2023-03-26,Office Supplies,South,Sell,1322.01,189.56,40
2023-03-27,Accessories,South,North,907.72,207.69,9
2023-03-28,Electronics,South,Help,1200.23,156.98,14
2023-03-29,Furniture,East,High,803.75,130.21,2
2023-03-30,Electronics,North,Discover,930.37,170.51,30
2023-03-31,Furniture,Central,Try,1456.59,362.33,35
2023-04-01,Clothing,Central,Sit,1501.85,306.96,20
2023-04-02,Accessories,South,Not,955.76,174.94,12
2023-04-03,Clothing,South,Look,710.55,170.84,20
2023-04-04,Office Supplies,East,Matter,982.61,167.55,46
2023-04-05,Clothing,Central,Fight,1339.72,283.03,38
2023-04-06,Furniture,Central,Visit,442.6,99.95,30
2023-04-07,Accessories,South,Contain,916.0,271.87,32
2023-04-08,Electronics,West,Box,1111.92,161.9,17
2023-04-09,Furniture,East,Find,1066.1,270.97,45
2023-04-10,Furniture,East,Then,771.88,224.13,18
2023-04-11,Electronics,East,Like,787.14,150.88,15
2023-04-12,Accessories,North,Light,1070.85,122.62,2
2023-04-13,Furniture,East,Dream,896.73,170.27,12
2023-04-14,Accessories,South,Perform,970.42,177.54,44
2023-04-15,Furniture,West,Discussion,631.44,110.66,44
2023-04-16,Clothing,North,Of,1232.33,356.69,24
2023-04-17,Office Supplies,West,Still,1348.85,374.89,31
2023-04-18,Accessories,East,Control,985.73,132.29,21
2023-04-19,Clothing,North,Evidence,1060.13,143.05,37
2023-04-20,Clothing,East,Impact,927.07,227.77,6
2023-04-21,Furniture,East,Movement,870.39,223.04,48
2023-04-22,Furniture,West,Or,581.08,137.18,14
2023-04-23,Furniture,West,Behind,833.77,139.93,36
2023-04-24,Office Supplies,East,Individual,731.92,81.08,16
2023-04-25,Office Supplies,East,Determine,568.2,65.94,4
2023-04-26,Clothing,Central,Carry,1601.59,436.88,33
2023-04-27,Accessories,North,Land,937.74,131.25,10
2023-04-28,Accessories,Central,Relate,1037.28,222.73,16
2023-04-29,Office Supplies,North,Modern,1411.93,345.32,3
2023-04-30,Electronics,North,Key,1344.85,200.15,47
2023-05-01,Clothing,West,Create,561.24,136.86,9
2023-05-02,Office Supplies,Central,Inside,1402.8,159.98,9
2023-05-03,Furniture,North,Surface,1577.47,177.99,37
